path	line_at_phase0	symbol
crates/keycompute-server/src/display_cache_tests.rs	186	SystemAdmin
crates/keycompute-server/src/extractors.rs	170	is_admin(
crates/keycompute-server/src/extractors.rs	171	SystemAdmin
crates/keycompute-server/src/extractors.rs	573	SystemAdmin
crates/keycompute-server/src/extractors.rs	574	is_admin(
crates/keycompute-server/src/extractors.rs	576	SystemAdmin
crates/keycompute-server/src/extractors.rs	577	SystemAdmin
crates/keycompute-server/src/extractors.rs	578	is_admin(
crates/keycompute-server/src/extractors.rs	596	is_admin(
crates/keycompute-server/src/extractors.rs	599	is_admin(
crates/keycompute-server/src/extractors.rs	613	is_admin(
crates/keycompute-server/src/extractors.rs	616	is_admin(
crates/keycompute-server/src/handlers/admin_account.rs	238	is_admin(
crates/keycompute-server/src/handlers/admin_account.rs	418	is_admin(
crates/keycompute-server/src/handlers/admin_account.rs	550	tenant_id: Option<
crates/keycompute-server/src/handlers/admin_account.rs	575	is_admin(
crates/keycompute-server/src/handlers/admin_account.rs	790	is_admin(
crates/keycompute-server/src/handlers/admin_account.rs	949	is_admin(
crates/keycompute-server/src/handlers/admin_account.rs	1429	is_admin(
crates/keycompute-server/src/handlers/admin_capacity.rs	51	is_admin(
crates/keycompute-server/src/handlers/admin_model_catalog.rs	30	tenant_id: Option<
crates/keycompute-server/src/handlers/admin_model_catalog.rs	46	SystemAdmin
crates/keycompute-server/src/handlers/admin_model_catalog.rs	56	is_admin(
crates/keycompute-server/src/handlers/admin_monitoring.rs	197	tenant_id: Option<
crates/keycompute-server/src/handlers/admin_passthrough_binding.rs	32	is_admin(
crates/keycompute-server/src/handlers/admin_passthrough_binding.rs	62	tenant_id: Option<
crates/keycompute-server/src/handlers/admin_passthrough_binding.rs	82	tenant_id: Option<
crates/keycompute-server/src/handlers/admin_pricing.rs	101	is_admin(
crates/keycompute-server/src/handlers/admin_pricing.rs	174	tenant_id: Option<
crates/keycompute-server/src/handlers/admin_pricing.rs	342	is_admin(
crates/keycompute-server/src/handlers/admin_pricing.rs	401	is_admin(
crates/keycompute-server/src/handlers/admin_pricing.rs	521	is_admin(
crates/keycompute-server/src/handlers/admin_pricing.rs	620	is_admin(
crates/keycompute-server/src/handlers/admin_pricing.rs	682	is_admin(
crates/keycompute-server/src/handlers/admin_settings.rs	352	SystemAdmin
crates/keycompute-server/src/handlers/admin_settings.rs	763	SystemAdmin
crates/keycompute-server/src/handlers/admin_settings.rs	786	SystemAdmin
crates/keycompute-server/src/handlers/admin_user.rs	31	AssignableUserRole;UserRole
crates/keycompute-server/src/handlers/admin_user.rs	65	tenant_id: Option<
